Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps),Jenis Rekomendasi Optimasi,RSRP(dBm)_after,SINR(dB)_after,Throughput Downlink(Kbps)_after,Throughput Uplink(Kbps)_after
106.78418539,-6.28061355,-65.94,22.790000000000003,38298.57,22414.47,Melakukan Optimasi Power Control,-69.70915999999997,20.902800000000035,38935.88917999999,25121.623225000007
106.78420189,-6.28055812,-64.22,23.980000000000004,41796.77,24056.480000000003,Melakukan Optimasi Power Control,-69.09425999999999,21.235100000000013,41593.15905999999,26820.61630000001
106.78421908,-6.28049937,-67.18,22.06,32006.400000000005,22203.38,Melakukan Optimasi Power Control,-70.62274999999998,20.114350000000027,34494.51456,22299.356025
106.78423723,-6.28043825,-69.2,20.15,32779.64,22412.62,Melakukan Optimasi Power Control,-71.44171,19.422550000000005,34427.91608000001,22596.07432500001
106.78425597,-6.28037827,-70.8,19.06,31984.37,24218.17,Melakukan Optimasi Power Control,-71.7974,18.615400000000008,33858.74446000001,23749.03442500001
106.78427513,-6.28031643,-73.14,18.33,34910.88,21916.49,Melakukan Optimasi Power Control,-73.42806000000003,17.758699999999987,34337.50602,22551.132899999997
106.78429511,-6.28025248,-74.06,19.25,33872.81,26123.91,Melakukan Optimasi Power Control,-73.55256000000001,18.490200000000005,34221.05358,25040.50655
106.78431303,-6.28019311,-72.91,22.83,36014.94,23433.48,Melakukan Optimasi Power Control,-71.19267000000002,20.64835000000001,34684.50819999999,25677.004025
106.78433534,-6.28012507,-75.82,21.290000000000003,38439.49,20748.16,Melakukan Optimasi Power Control,-75.32271,18.765550000000008,38535.84593999999,22744.656275
106.78435731,-6.28006044,-76.91,21.35,38248.49,25389.97,Melakukan Optimasi Power Control,-75.27318,18.84680000000001,38254.58219999999,24715.1314
106.784379,-6.27999632,-77.36,20.02,35406.91,23008.48,Melakukan Optimasi Power Control,-75.96004,18.277600000000017,34036.62755999999,23280.294275
106.78440402,-6.27992942,-77.84,17.54,28879.05,16974.19,Melakukan Optimasi Power Control,-77.25094999999999,17.39145000000001,29499.882179999997,20719.500949999987
106.7844281,-6.27986793,-79.9,14.15,19966.94,20094.27,Melakukan Optimasi MEC dan Carrier Aggregation,-78.52641000000003,17.552950000000006,22349.348100000003,22878.81974999998
106.78445278,-6.27980357,-79.0,14.999999999999996,22594.62,21544.15,Melakukan Optimasi Power Control,-78.36997000000001,16.59795000000003,24023.62348000002,22826.069449999988
106.78447889,-6.279736,-80.7,13.4,18745.5,17235.63,Melakukan Optimasi MEC dan Carrier Aggregation,-77.94852999999999,17.497149999999976,21657.59558000001,22407.303899999984
106.78450779,-6.2796718,-81.24,15.459999999999996,26995.37,22628.35,Melakukan Optimasi Power Control,-79.68304,14.951000000000002,29028.250960000005,22359.665374999982
106.78453727,-6.27960332,-81.96,14.539999999999996,23135.36,12224.99,Melakukan Optimasi MEC dan Carrier Aggregation,-78.4546,18.063899999999997,30202.10472000002,11737.096875000005
106.78456947,-6.27953732,-84.1,12.33,19459.07,12518.99,Melakukan Optimasi MEC dan Carrier Aggregation,-78.64883499999999,17.545374999999996,16978.50588,8884.415150000003
106.78460122,-6.27947106,-86.06,13.31,21212.74,17437.32,Melakukan Optimasi MEC dan Carrier Aggregation,-81.13032999999999,17.956949999999978,24202.863310000008,22252.70670499999
106.78462952,-6.27940875,-87.95,9.900000000000004,18184.22,15506.29,Melakukan Optimasi MEC dan Carrier Aggregation,-81.57239999999999,15.753649999999968,21772.967430000008,22737.295699999995
106.78466043,-6.27934284,-86.31,12.19,18146.18,16187.399999999998,Melakukan Optimasi MEC dan Carrier Aggregation,-80.752195,17.451774999999966,22052.937890000016,23004.269864999995
106.78469153,-6.27927838,-85.31,12.21,20344.96,14754.88,Melakukan Optimasi MEC dan Carrier Aggregation,-79.97267000000002,16.97364999999998,22595.35210000002,21366.66531999999
106.78472095,-6.27921771,-85.5,10.710000000000004,16797.35,11392.8,Melakukan Optimasi MEC dan Carrier Aggregation,-79.928035,15.506175000000017,18255.31860000001,9156.0284
106.78475223,-6.27914926,-86.69,10.230000000000004,16326.03,8955.8,Melakukan Optimasi MEC dan Carrier Aggregation,-81.21283500000001,15.036274999999993,17660.428080000012,7351.088900000008
106.78478058,-6.27908599,-88.5,10.539999999999996,17504.42,10595.08,Melakukan Optimasi MEC dan Carrier Aggregation,-82.735135,15.195575,17916.825960000013,7136.642525000007
106.78481193,-6.27902445,-88.77,9.630000000000004,17873.36,11936.64,Melakukan Optimasi MEC dan Carrier Aggregation,-82.78533500000002,14.670474999999994,17734.887720000013,7270.060775000008
106.78484688,-6.27895926,-89.36,7.31,16112.17,12584.459999999995,Melakukan Optimasi Load Balancing dan Handover Tuning,-86.57579999999999,8.615799999999988,19085.75735,13118.040225
106.78487966,-6.27890002,-88.82,7.290000000000001,12311.09,10510.17,Melakukan Optimasi Load Balancing dan Handover Tuning,-86.00059999999996,8.210599999999982,12838.087679999997,11691.895669999996
106.78491449,-6.27883776,-90.57,5.829999999999999,8887.88,7859.519999999999,Melakukan Optimasi Load Balancing dan Handover Tuning,-87.94910000000002,7.851599999999977,10626.515790000003,9228.4924
106.7849484,-6.27877737,-91.08,4.120000000000001,10326.92,11767.14,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.8301,6.813399999999985,11916.508340000008,13159.727494999985
106.78498608,-6.27870772,-90.3,2.6499999999999995,10501.93,10728.21,Melakukan Optimasi Load Balancing dan Handover Tuning,-87.74490000000002,5.467499999999991,11786.218290000004,11864.496064999994
106.78502189,-6.27864437,-91.06,2.4399999999999995,10948.35,10136.67,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.8397,5.170000000000011,11615.495759999993,12781.064925000002
106.78505634,-6.27858112,-91.97,2.6,8092.260000000001,6485.18,Melakukan Optimasi Load Balancing dan Handover Tuning,-89.23819999999999,5.321599999999989,9839.48207000001,6926.077170000004
106.78509265,-6.27851769,-94.0,2.54,7242.17,8071.76,Melakukan Optimasi Load Balancing dan Handover Tuning,-90.90649999999998,4.8526999999999925,8542.60286,9914.492930000002
106.78513526,-6.27845138,-93.17,1.8500000000000016,6832.03,11075.93,Melakukan Optimasi Load Balancing dan Handover Tuning,-90.6973,4.169200000000007,8168.833310000002,12632.303915000002
106.78517617,-6.27838773,-94.5,0.9600000000000009,9619.94,7317.27,Melakukan Optimasi Load Balancing dan Handover Tuning,-91.5452,3.406800000000012,10989.37939000001,8429.264825000004
106.78521901,-6.27832455,-93.33,2.87,10943.68,5741.46,Melakukan Optimasi Load Balancing dan Handover Tuning,-90.60330000000002,5.064699999999989,11383.298410000009,6782.016785000007
106.78526877,-6.27825986,-95.88,-1.7300000000000015,8507.3,7013.34,Melakukan Optimasi Load Balancing dan Handover Tuning,-85.37090000000003,13.50410000000001,14097.509100000016,11379.38384
106.78531579,-6.27819918,-94.01,-0.1900000000000001,7510.51,4110.62,Melakukan Optimasi Load Balancing dan Handover Tuning,-90.81,2.885799999999996,9654.047809999998,5023.0406100000055
106.78536392,-6.27813866,-93.17,1.020000000000001,8634.75,8075.68,Melakukan Optimasi Load Balancing dan Handover Tuning,-90.3563,3.571100000000001,10047.538159999993,10012.401859999998
106.7854084,-6.27808536,-89.06,5.169999999999999,10924.26,8651.74,Melakukan Optimasi Load Balancing dan Handover Tuning,-86.31199999999997,7.574099999999993,11754.778199999995,10869.514224999988
106.78545329,-6.27802775,-89.63,4.730000000000001,9673.85,9265.97,Melakukan Optimasi Load Balancing dan Handover Tuning,-86.92239999999998,7.241799999999987,11233.899159999994,11704.791309999991
106.78549689,-6.27796894,-90.73,5.059999999999999,3768.58,6394.43,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.16619999999998,7.258299999999986,3966.3535999999976,6431.336934999999
106.78553677,-6.27791189,-92.78,4.019999999999998,10222.77,16117.450000000004,Melakukan Optimasi Load Balancing dan Handover Tuning,-89.9654,6.26839999999999,12037.164699999996,18248.01554
106.7855784,-6.27785847,-93.17,2.81,6639.65,5425.81,Melakukan Optimasi Load Balancing dan Handover Tuning,-90.4225,5.253099999999982,7564.614090000001,6168.828965000001
106.78562565,-6.27780158,-92.88,3.02,8123.139999999999,9934.32,Melakukan Optimasi Load Balancing dan Handover Tuning,-90.1838,5.521700000000003,10020.087549999998,13154.048220000004
106.78566866,-6.27775524,-94.48,3.4600000000000004,9301.22,10377.89,Melakukan Optimasi Load Balancing dan Handover Tuning,-91.67900000000002,5.662799999999998,10727.742630000006,12605.329860000007
106.78571906,-6.27770098,-93.18,4.210000000000001,11093.96,11915.700000000004,Melakukan Optimasi Load Balancing dan Handover Tuning,-90.264,7.018499999999984,12454.156220000004,12470.57677
106.78576621,-6.27764586,-92.31,4.650000000000001,9757.58,7910.34,Melakukan Optimasi Load Balancing dan Handover Tuning,-89.3938,7.579999999999996,11466.012250000002,9589.312605
106.7858091,-6.27758844,-91.63,7.520000000000001,10089.99,13508.530000000002,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.59789999999998,9.19089999999998,11740.61856,12542.048120000003
106.78585727,-6.27752749,-91.64,9.230000000000002,13396.79,16115.509999999998,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.64299000000003,11.596249999999992,17968.046780000015,19920.312924999995
106.78590594,-6.27746645,-91.65,9.150000000000002,17921.41,16681.02,Melakukan Optimasi Load Balancing dan Handover Tuning,-88.39402,12.320800000000007,20691.010030000016,20492.739284999992
106.78595253,-6.27741036,-90.36,10.619999999999996,14648.95,11125.69,Melakukan Optimasi MEC dan Carrier Aggregation,-84.04293500000001,15.236474999999968,15727.002120000012,6942.934525000007
106.78600114,-6.27735441,-89.11,12.31,22716.0,22220.97,Melakukan Optimasi Load Balancing dan Handover Tuning,-82.93089500000002,17.401074999999977,22292.582030000005,25167.144124999984
106.78604898,-6.27729878,-88.88,11.829999999999998,16551.13,16103.02,Melakukan Optimasi MEC dan Carrier Aggregation,-82.141135,17.88482499999996,20493.32617000001,23070.189944999995
106.78609291,-6.27724531,-83.14,15.959999999999996,30239.58,28036.76,Melakukan Optimasi Power Control,-82.32738499999999,14.00492499999998,31734.58901,26260.56422500001
106.7861358,-6.27719204,-80.92,15.669999999999996,22993.18,14315.46,Melakukan Optimasi MEC dan Carrier Aggregation,-77.72032000000003,17.9291,24396.27296000001,18672.72295
106.7861739,-6.27714463,-81.33,14.829999999999997,30546.93,26138.37,Melakukan Optimasi Power Control,-80.07533,14.139149999999985,33215.043620000004,23691.77665
106.78620888,-6.27710164,-85.83,11.87,19051.61,17448.21,Melakukan Optimasi MEC dan Carrier Aggregation,-80.35750499999999,17.286424999999962,22757.805060000017,23114.362154999984
106.78624221,-6.2770587,-85.01,12.79,27204.7,24200.540000000005,Melakukan Optimasi Power Control,-84.59602999999997,12.750449999999988,29851.34125000001,25237.432505000004
106.78627063,-6.2770236,-84.97,12.31,19093.92,16992.74,Melakukan Optimasi MEC dan Carrier Aggregation,-79.729735,17.208574999999975,22947.67895000002,22595.82853499999
106.7862965,-6.27698844,-87.66,9.539999999999996,20706.75,21720.8,Melakukan Optimasi Load Balancing dan Handover Tuning,-85.05033499999996,11.903274999999985,23354.12573000001,24571.986429999997
106.7863125,-6.27695465,-88.01,8.920000000000002,15797.649999999998,14810.47,Melakukan Optimasi MEC dan Carrier Aggregation,-85.50165500000001,11.756774999999998,20732.94120000001,20346.99942
